vehicle_id,plant_code,model,trim,part_id,expected_part_code,valid_from,expected_source
V00001,HMMA,SONATA,SE,BATTERY,BAT_B,2024-06-01,EO_RULESET
V00001,HMMA,SONATA,SE,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00001,HMMA,SONATA,SE,INFOTAINMENT,INF_V2,2024-06-11,EO_RULESET
V00001,HMMA,SONATA,SE,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00001,HMMA,SONATA,SE,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00001,HMMA,SONATA,SE,ECU,ECU_1,,EO_RULESET
V00001,HMMA,SONATA,SE,HEADLAMP,HL_HAL,,EO_RULESET
V00001,HMMA,SONATA,SE,WHEEL,WH_18,2024-06-24,EO_RULESET
V00001,HMMA,SONATA,SE,CAMERA,CAM_1,2024-06-29,EO_RULESET
V00001,HMMA,SONATA,SE,SENSOR,SNS_B,2024-07-04,EO_RULESET
V00002,HMMA,TUCSON,SE,BATTERY,BAT_C,2024-08-03,EO_RULESET
V00002,HMMA,TUCSON,SE,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00002,HMMA,TUCSON,SE,INFOTAINMENT,INF_V3,2024-07-19,EO_RULESET
V00002,HMMA,TUCSON,SE,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00002,HMMA,TUCSON,SE,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00002,HMMA,TUCSON,SE,ECU,ECU_1,,EO_RULESET
V00002,HMMA,TUCSON,SE,HEADLAMP,HL_HAL,,EO_RULESET
V00002,HMMA,TUCSON,SE,WHEEL,WH_18,2024-06-24,EO_RULESET
V00002,HMMA,TUCSON,SE,CAMERA,CAM_1,2024-06-29,EO_RULESET
V00002,HMMA,TUCSON,SE,SENSOR,SNS_B,2024-07-04,EO_RULESET
V00003,HMMA,ELANTRA,SE,BATTERY,BAT_B,2024-06-01,EO_RULESET
V00003,HMMA,ELANTRA,SE,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00003,HMMA,ELANTRA,SE,INFOTAINMENT,INF_V2,2024-06-11,EO_RULESET
V00003,HMMA,ELANTRA,SE,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00003,HMMA,ELANTRA,SE,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00003,HMMA,ELANTRA,SE,ECU,ECU_1,,EO_RULESET
V00003,HMMA,ELANTRA,SE,HEADLAMP,HL_HAL,,EO_RULESET
V00003,HMMA,ELANTRA,SE,WHEEL,WH_17,,EO_RULESET
V00003,HMMA,ELANTRA,SE,CAMERA,CAM_0,,EO_RULESET
V00003,HMMA,ELANTRA,SE,SENSOR,SNS_A,,EO_RULESET
V00004,HMMA,SONATA,LIMITED,BATTERY,BAT_B,2024-06-01,EO_RULESET
V00004,HMMA,SONATA,LIMITED,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00004,HMMA,SONATA,LIMITED,INFOTAINMENT,INF_V3,2024-07-19,EO_RULESET
V00004,HMMA,SONATA,LIMITED,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00004,HMMA,SONATA,LIMITED,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00004,HMMA,SONATA,LIMITED,ECU,ECU_1,,EO_RULESET
V00004,HMMA,SONATA,LIMITED,HEADLAMP,HL_HAL,,EO_RULESET
V00004,HMMA,SONATA,LIMITED,WHEEL,WH_18,2024-06-24,EO_RULESET
V00004,HMMA,SONATA,LIMITED,CAMERA,CAM_1,2024-06-29,EO_RULESET
V00004,HMMA,SONATA,LIMITED,SENSOR,SNS_B,2024-07-04,EO_RULESET
V00005,HMMA,SONATA,LIMITED,BATTERY,BAT_B,2024-06-01,EO_RULESET
V00005,HMMA,SONATA,LIMITED,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00005,HMMA,SONATA,LIMITED,INFOTAINMENT,INF_V2,2024-06-11,EO_RULESET
V00005,HMMA,SONATA,LIMITED,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00005,HMMA,SONATA,LIMITED,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00005,HMMA,SONATA,LIMITED,ECU,ECU_1,,EO_RULESET
V00005,HMMA,SONATA,LIMITED,HEADLAMP,HL_HAL,,EO_RULESET
V00005,HMMA,SONATA,LIMITED,WHEEL,WH_18,2024-06-24,EO_RULESET
V00005,HMMA,SONATA,LIMITED,CAMERA,CAM_1,2024-06-29,EO_RULESET
V00005,HMMA,SONATA,LIMITED,SENSOR,SNS_B,2024-07-04,EO_RULESET
V00006,HMMA,SANTA_FE,SE,BATTERY,BAT_C,2024-08-03,EO_RULESET
V00006,HMMA,SANTA_FE,SE,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00006,HMMA,SANTA_FE,SE,INFOTAINMENT,INF_V3,2024-07-19,EO_RULESET
V00006,HMMA,SANTA_FE,SE,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00006,HMMA,SANTA_FE,SE,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00006,HMMA,SANTA_FE,SE,ECU,ECU_1,,EO_RULESET
V00006,HMMA,SANTA_FE,SE,HEADLAMP,HL_HAL,,EO_RULESET
V00006,HMMA,SANTA_FE,SE,WHEEL,WH_18,2024-06-24,EO_RULESET
V00006,HMMA,SANTA_FE,SE,CAMERA,CAM_1,2024-06-29,EO_RULESET
V00006,HMMA,SANTA_FE,SE,SENSOR,SNS_B,2024-07-04,EO_RULESET
V00007,HMMA,SONATA,SE,BATTERY,BAT_B,2024-06-01,EO_RULESET
V00007,HMMA,SONATA,SE,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00007,HMMA,SONATA,SE,INFOTAINMENT,INF_V2,2024-06-11,EO_RULESET
V00007,HMMA,SONATA,SE,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00007,HMMA,SONATA,SE,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00007,HMMA,SONATA,SE,ECU,ECU_1,,EO_RULESET
V00007,HMMA,SONATA,SE,HEADLAMP,HL_HAL,,EO_RULESET
V00007,HMMA,SONATA,SE,WHEEL,WH_18,2024-06-24,EO_RULESET
V00007,HMMA,SONATA,SE,CAMERA,CAM_1,2024-06-29,EO_RULESET
V00007,HMMA,SONATA,SE,SENSOR,SNS_B,2024-07-04,EO_RULESET
V00008,HMMA,ELANTRA,SE,BATTERY,BAT_C,2024-08-03,EO_RULESET
V00008,HMMA,ELANTRA,SE,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00008,HMMA,ELANTRA,SE,INFOTAINMENT,INF_V3,2024-07-19,EO_RULESET
V00008,HMMA,ELANTRA,SE,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00008,HMMA,ELANTRA,SE,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00008,HMMA,ELANTRA,SE,ECU,ECU_1,,EO_RULESET
V00008,HMMA,ELANTRA,SE,HEADLAMP,HL_HAL,,EO_RULESET
V00008,HMMA,ELANTRA,SE,WHEEL,WH_18,2024-06-24,EO_RULESET
V00008,HMMA,ELANTRA,SE,CAMERA,CAM_1,2024-06-29,EO_RULESET
V00008,HMMA,ELANTRA,SE,SENSOR,SNS_B,2024-07-04,EO_RULESET
V00009,HMMA,SONATA,LIMITED,BATTERY,BAT_B,2024-06-01,EO_RULESET
V00009,HMMA,SONATA,LIMITED,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00009,HMMA,SONATA,LIMITED,INFOTAINMENT,INF_V2,2024-06-11,EO_RULESET
V00009,HMMA,SONATA,LIMITED,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00009,HMMA,SONATA,LIMITED,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00009,HMMA,SONATA,LIMITED,ECU,ECU_1,,EO_RULESET
V00009,HMMA,SONATA,LIMITED,HEADLAMP,HL_HAL,,EO_RULESET
V00009,HMMA,SONATA,LIMITED,WHEEL,WH_18,2024-06-24,EO_RULESET
V00009,HMMA,SONATA,LIMITED,CAMERA,CAM_1,2024-06-29,EO_RULESET
V00009,HMMA,SONATA,LIMITED,SENSOR,SNS_A,,EO_RULESET
V00010,HMMA,ELANTRA,N_LINE,BATTERY,BAT_C,2024-08-03,EO_RULESET
V00010,HMMA,ELANTRA,N_LINE,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00010,HMMA,ELANTRA,N_LINE,INFOTAINMENT,INF_V3,2024-07-19,EO_RULESET
V00010,HMMA,ELANTRA,N_LINE,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00010,HMMA,ELANTRA,N_LINE,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00010,HMMA,ELANTRA,N_LINE,ECU,ECU_1,,EO_RULESET
V00010,HMMA,ELANTRA,N_LINE,HEADLAMP,HL_HAL,,EO_RULESET
V00010,HMMA,ELANTRA,N_LINE,WHEEL,WH_18,2024-06-24,EO_RULESET
V00010,HMMA,ELANTRA,N_LINE,CAMERA,CAM_1,2024-06-29,EO_RULESET
V00010,HMMA,ELANTRA,N_LINE,SENSOR,SNS_B,2024-07-04,EO_RULESET
V00011,HMMA,SANTA_FE,SE,BATTERY,BAT_C,2024-08-03,EO_RULESET
V00011,HMMA,SANTA_FE,SE,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00011,HMMA,SANTA_FE,SE,INFOTAINMENT,INF_V3,2024-07-19,EO_RULESET
V00011,HMMA,SANTA_FE,SE,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00011,HMMA,SANTA_FE,SE,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00011,HMMA,SANTA_FE,SE,ECU,ECU_1,,EO_RULESET
V00011,HMMA,SANTA_FE,SE,HEADLAMP,HL_HAL,,EO_RULESET
V00011,HMMA,SANTA_FE,SE,WHEEL,WH_18,2024-06-24,EO_RULESET
V00011,HMMA,SANTA_FE,SE,CAMERA,CAM_1,2024-06-29,EO_RULESET
V00011,HMMA,SANTA_FE,SE,SENSOR,SNS_B,2024-07-04,EO_RULESET
V00012,HMMA,SANTA_FE,LIMITED,BATTERY,BAT_B,2024-06-01,EO_RULESET
V00012,HMMA,SANTA_FE,LIMITED,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00012,HMMA,SANTA_FE,LIMITED,INFOTAINMENT,INF_V3,2024-07-19,EO_RULESET
V00012,HMMA,SANTA_FE,LIMITED,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00012,HMMA,SANTA_FE,LIMITED,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00012,HMMA,SANTA_FE,LIMITED,ECU,ECU_1,,EO_RULESET
V00012,HMMA,SANTA_FE,LIMITED,HEADLAMP,HL_HAL,,EO_RULESET
V00012,HMMA,SANTA_FE,LIMITED,WHEEL,WH_18,2024-06-24,EO_RULESET
V00012,HMMA,SANTA_FE,LIMITED,CAMERA,CAM_1,2024-06-29,EO_RULESET
V00012,HMMA,SANTA_FE,LIMITED,SENSOR,SNS_B,2024-07-04,EO_RULESET
V00013,HMMA,TUCSON,SE,BATTERY,BAT_B,2024-06-01,EO_RULESET
V00013,HMMA,TUCSON,SE,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00013,HMMA,TUCSON,SE,INFOTAINMENT,INF_V3,2024-07-19,EO_RULESET
V00013,HMMA,TUCSON,SE,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00013,HMMA,TUCSON,SE,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00013,HMMA,TUCSON,SE,ECU,ECU_1,,EO_RULESET
V00013,HMMA,TUCSON,SE,HEADLAMP,HL_HAL,,EO_RULESET
V00013,HMMA,TUCSON,SE,WHEEL,WH_18,2024-06-24,EO_RULESET
V00013,HMMA,TUCSON,SE,CAMERA,CAM_1,2024-06-29,EO_RULESET
V00013,HMMA,TUCSON,SE,SENSOR,SNS_B,2024-07-04,EO_RULESET
V00014,HMMA,ELANTRA,N_LINE,BATTERY,BAT_B,2024-06-01,EO_RULESET
V00014,HMMA,ELANTRA,N_LINE,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00014,HMMA,ELANTRA,N_LINE,INFOTAINMENT,INF_V1,,EO_RULESET
V00014,HMMA,ELANTRA,N_LINE,BRAKE,BRK_STD,,EO_RULESET
V00014,HMMA,ELANTRA,N_LINE,SEAT,ST_FAB,,EO_RULESET
V00014,HMMA,ELANTRA,N_LINE,ECU,ECU_1,,EO_RULESET
V00014,HMMA,ELANTRA,N_LINE,HEADLAMP,HL_HAL,,EO_RULESET
V00014,HMMA,ELANTRA,N_LINE,WHEEL,WH_17,,EO_RULESET
V00014,HMMA,ELANTRA,N_LINE,CAMERA,CAM_0,,EO_RULESET
V00014,HMMA,ELANTRA,N_LINE,SENSOR,SNS_A,,EO_RULESET
V00015,HMMA,SANTA_FE,SEL,BATTERY,BAT_B,2024-06-01,EO_RULESET
V00015,HMMA,SANTA_FE,SEL,AIRBAG,ABG_X,,EO_RULESET
V00015,HMMA,SANTA_FE,SEL,INFOTAINMENT,INF_V1,,EO_RULESET
V00015,HMMA,SANTA_FE,SEL,BRAKE,BRK_STD,,EO_RULESET
V00015,HMMA,SANTA_FE,SEL,SEAT,ST_FAB,,EO_RULESET
V00015,HMMA,SANTA_FE,SEL,ECU,ECU_1,,EO_RULESET
V00015,HMMA,SANTA_FE,SEL,HEADLAMP,HL_HAL,,EO_RULESET
V00015,HMMA,SANTA_FE,SEL,WHEEL,WH_17,,EO_RULESET
V00015,HMMA,SANTA_FE,SEL,CAMERA,CAM_0,,EO_RULESET
V00015,HMMA,SANTA_FE,SEL,SENSOR,SNS_A,,EO_RULESET
V00016,HMMA,TUCSON,SE,BATTERY,BAT_B,2024-06-01,EO_RULESET
V00016,HMMA,TUCSON,SE,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00016,HMMA,TUCSON,SE,INFOTAINMENT,INF_V2,2024-06-11,EO_RULESET
V00016,HMMA,TUCSON,SE,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00016,HMMA,TUCSON,SE,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00016,HMMA,TUCSON,SE,ECU,ECU_1,,EO_RULESET
V00016,HMMA,TUCSON,SE,HEADLAMP,HL_HAL,,EO_RULESET
V00016,HMMA,TUCSON,SE,WHEEL,WH_18,2024-06-24,EO_RULESET
V00016,HMMA,TUCSON,SE,CAMERA,CAM_1,2024-06-29,EO_RULESET
V00016,HMMA,TUCSON,SE,SENSOR,SNS_B,2024-07-04,EO_RULESET
V00017,HMMA,ELANTRA,SEL,BATTERY,BAT_C,2024-08-03,EO_RULESET
V00017,HMMA,ELANTRA,SEL,AIRBAG,ABG_Y,2024-06-07,EO_RULESET
V00017,HMMA,ELANTRA,SEL,INFOTAINMENT,INF_V3,2024-07-19,EO_RULESET
V00017,HMMA,ELANTRA,SEL,BRAKE,BRK_ENH,2024-06-15,EO_RULESET
V00017,HMMA,ELANTRA,SEL,SEAT,ST_LEATHER,2024-06-19,EO_RULESET
V00017,HMMA,ELANTRA,SEL,ECU,ECU_1,,EO_RULESET
V00017,HMMA,ELANTRA,SEL,HEADLAMP,HL_HAL,,EO_RULESET
V00017,HMMA,ELANTRA,SEL,WHEEL,WH_18,2024-06-24,EO_RULESET
V00017,HMMA,ELANTRA,SEL,CAMERA,CAM_1,2024-06-29,EO_RULESET
V00017,HMMA,ELANTRA,SEL,SENSOR,SNS_B,2024-07-04,EO_RULESET
