vehicle_id,plant_code,assembly_line,shift,model,trim,part_id,actual_part_code,production_date,mismatch_reason
V00001,HMMA,Line_1,Day,SONATA,SE,BATTERY,BAT_B,2024-07-08,
V00001,HMMA,Line_1,Day,SONATA,SE,AIRBAG,ABG_Y,2024-07-08,
V00001,HMMA,Line_1,Day,SONATA,SE,INFOTAINMENT,INF_V2,2024-07-08,
V00001,HMMA,Line_1,Day,SONATA,SE,BRAKE,BRK_ENH,2024-07-08,
V00001,HMMA,Line_1,Day,SONATA,SE,SEAT,ST_LEATHER,2024-07-08,
V00001,HMMA,Line_1,Day,SONATA,SE,ECU,ECU_1,2024-07-08,
V00001,HMMA,Line_1,Day,SONATA,SE,HEADLAMP,HL_HAL,2024-07-08,
V00001,HMMA,Line_1,Day,SONATA,SE,WHEEL,WH_18,2024-07-08,
V00001,HMMA,Line_1,Day,SONATA,SE,CAMERA,CAM_0,2024-07-08,EO_NOT_YET_ADOPTED
V00001,HMMA,Line_1,Day,SONATA,SE,SENSOR,SNS_A,2024-07-08,EO_NOT_YET_ADOPTED
V00002,HMMA,Line_1,Night,TUCSON,SE,BATTERY,BAT_C,2024-08-20,
V00002,HMMA,Line_1,Night,TUCSON,SE,AIRBAG,ABG_Y,2024-08-20,
V00002,HMMA,Line_1,Night,TUCSON,SE,INFOTAINMENT,INF_V3,2024-08-20,
V00002,HMMA,Line_1,Night,TUCSON,SE,BRAKE,BRK_ENH,2024-08-20,
V00002,HMMA,Line_1,Night,TUCSON,SE,SEAT,ST_LEATHER,2024-08-20,
V00002,HMMA,Line_1,Night,TUCSON,SE,ECU,ECU_1,2024-08-20,
V00002,HMMA,Line_1,Night,TUCSON,SE,HEADLAMP,HL_HAL,2024-08-20,
V00002,HMMA,Line_1,Night,TUCSON,SE,WHEEL,WH_18,2024-08-20,
V00002,HMMA,Line_1,Night,TUCSON,SE,CAMERA,CAM_1,2024-08-20,
V00002,HMMA,Line_1,Night,TUCSON,SE,SENSOR,SNS_B,2024-08-20,
V00003,HMMA,Line_3,Night,ELANTRA,SE,BATTERY,BAT_B,2024-06-21,
V00003,HMMA,Line_3,Night,ELANTRA,SE,AIRBAG,ABG_Y,2024-06-21,
V00003,HMMA,Line_3,Night,ELANTRA,SE,INFOTAINMENT,INF_V2,2024-06-21,
V00003,HMMA,Line_3,Night,ELANTRA,SE,BRAKE,BRK_ENH,2024-06-21,
V00003,HMMA,Line_3,Night,ELANTRA,SE,SEAT,ST_FAB,2024-06-21,EO_NOT_YET_ADOPTED
V00003,HMMA,Line_3,Night,ELANTRA,SE,ECU,ECU_1,2024-06-21,
V00003,HMMA,Line_3,Night,ELANTRA,SE,HEADLAMP,HL_HAL,2024-06-21,
V00003,HMMA,Line_3,Night,ELANTRA,SE,WHEEL,WH_17,2024-06-21,
V00003,HMMA,Line_3,Night,ELANTRA,SE,CAMERA,CAM_0,2024-06-21,
V00003,HMMA,Line_3,Night,ELANTRA,SE,SENSOR,SNS_A,2024-06-21,
V00004,HMMA,Line_2,Night,SONATA,LIMITED,BATTERY,BAT_B,2024-08-02,
V00004,HMMA,Line_2,Night,SONATA,LIMITED,AIRBAG,ABG_Y,2024-08-02,
V00004,HMMA,Line_2,Night,SONATA,LIMITED,INFOTAINMENT,INF_V3,2024-08-02,
V00004,HMMA,Line_2,Night,SONATA,LIMITED,BRAKE,BRK_ENH,2024-08-02,
V00004,HMMA,Line_2,Night,SONATA,LIMITED,SEAT,ST_LEATHER,2024-08-02,
