action_id,trigger_type,trigger_id,action_type,start_date,owner_dept,supplier_response_date,expected_effect_metric
A000000001,defect,D000000558,corrective,2026-01-13,ManufacturingEng,2026-01-18,oos_drop
A000000002,defect,D000000571,containment,2026-01-14,Quality,,ppm_drop
A000000003,defect,D000000493,containment,2025-12-19,ManufacturingEng,2025-12-25,scrap_cost_drop
A000000004,defect,D000000529,corrective,2025-12-31,Production,,ppm_drop
A000000005,defect,D000000304,containment,2025-10-22,Quality,,ppm_drop
A000000006,defect,D000000164,corrective,2025-08-26,Production,2025-09-02,scrap_cost_drop
A000000007,defect,D000000352,containment,2025-11-06,R&D,2025-11-15,scrap_cost_drop
A000000008,defect,D000000377,containment,2025-11-13,R&D,2025-11-20,oos_drop
A000000009,defect,D000000018,containment,2025-07-11,Quality,2025-07-13,ppm_drop
A000000010,defect,D000000174,corrective,2025-08-28,Quality,2025-09-06,ppm_drop
A000000011,defect,D000000265,corrective,2025-10-09,SupplierQuality,2025-10-17,oos_drop
A000000012,defect,D000000257,preventive,2025-10-02,Quality,,oos_drop
A000000013,defect,D000000126,corrective,2025-08-16,Quality,2025-08-19,scrap_cost_drop
A000000014,defect,D000000003,preventive,2025-07-05,ManufacturingEng,,ppm_drop
A000000015,defect,D000000567,preventive,2026-01-15,Quality,2026-01-25,ppm_drop
A000000016,defect,D000000582,corrective,2026-01-21,ManufacturingEng,,ppm_drop
A000000017,defect,D000000001,containment,2025-07-02,Quality,,ppm_drop
A000000018,defect,D000000618,corrective,2026-02-01,Production,2026-02-11,ppm_drop
A000000019,defect,D000000536,containment,2026-01-04,ManufacturingEng,,ppm_drop
A000000020,defect,D000000550,preventive,2026-01-06,ManufacturingEng,2026-01-14,ppm_drop
A000000021,defect,D000000549,corrective,2026-01-09,Quality,2026-01-14,ppm_drop
A000000022,defect,D000000532,preventive,2025-12-31,SupplierQuality,,scrap_cost_drop
A000000023,defect,D000000527,preventive,2025-12-26,ManufacturingEng,2026-01-06,ppm_drop
A000000024,defect,D000000097,containment,2025-08-07,Production,2025-08-17,oos_drop
A000000025,defect,D000000093,corrective,2025-08-05,ManufacturingEng,2025-08-07,oos_drop
A000000026,defect,D000000080,preventive,2025-08-02,SupplierQuality,2025-08-04,ppm_drop
A000000027,defect,D000000094,containment,2025-08-08,Production,2025-08-10,ppm_drop
A000000028,defect,D000000580,containment,2026-01-16,SupplierQuality,2026-01-19,ppm_drop
A000000029,defect,D000000616,corrective,2026-02-01,Production,2026-02-06,oos_drop
A000000030,defect,D000000614,preventive,2026-02-01,Quality,2026-02-04,ppm_drop
A000000031,defect,D000000055,corrective,2025-07-21,Quality,2025-07-24,scrap_cost_drop
A000000032,defect,D000000057,preventive,2025-07-24,Production,2025-08-01,scrap_cost_drop
A000000033,defect,D000000051,corrective,2025-07-21,Quality,2025-07-23,oos_drop
A000000034,defect,D000000043,containment,2025-07-19,R&D,2025-07-29,ppm_drop
A000000035,defect,D000000046,containment,2025-07-21,ManufacturingEng,,oos_drop
A000000036,defect,D000000552,containment,2026-01-09,Quality,2026-01-19,scrap_cost_drop
A000000037,defect,D000000064,corrective,2025-07-28,Quality,2025-08-07,ppm_drop
A000000038,defect,D000000451,corrective,2025-12-07,Production,2025-12-17,ppm_drop
A000000039,defect,D000000457,corrective,2025-12-11,Quality,,scrap_cost_drop
