date,supplier_id,part_id,plant_line,shift,qty_used,qty_received,lot_n,defect_n,severity_points,cost_usd,eo_active_flag_def,meas_n,oos_n,oos_rate,avg_deviation,abs_avg_deviation,eo_active_flag,defect_rate_per_1000,ppm,cost_per_1000_units,eo_flag,risk_score_v1
2025-07-01,S001,P0001,TrimLine-1,A,279,333,1,0.0,0.0,0.0,0.0,8,3,0.375,0.014075,0.1186,0,0.0,0.0,0.0,0,37.5
2025-07-01,S001,P0005,BodyLine-1,A,386,478,1,1.0,2.0,289.1,0.0,13,9,0.6923076923076923,-0.13606923076923078,0.362223076923077,0,2.5906735751295336,2590.6735751295337,748.9637305699482,0,79.01276923076922
2025-07-01,S001,P0017,ChassisLine-1,A,235,269,1,0.0,0.0,0.0,0.0,21,0,0.0,0.057038095238095235,0.13185714285714287,0,0.0,0.0,0.0,0,0.0
2025-07-01,S001,P0021,ChassisLine-1,A,388,420,1,0.0,0.0,0.0,0.0,10,0,0.0,0.005749999999999999,0.10037,0,0.0,0.0,0.0,0,0.0
2025-07-01,S003,P0028,ChassisLine-1,B,343,441,1,0.0,0.0,0.0,0.0,16,1,0.0625,-0.07349375,0.19315625,0,0.0,0.0,0.0,0,6.25
2025-07-01,S005,P0010,BodyLine-1,A,321,366,1,0.0,0.0,0.0,0.0,19,0,0.0,0.06915263157894737,0.2575,0,0.0,0.0,0.0,0,0.0
2025-07-01,S005,P0027,Final-1,A,187,224,1,1.0,2.0,24.28,0.0,8,4,0.5,-0.18706250000000002,0.2722875,0,5.347593582887701,5347.5935828877,129.83957219251337,0,54.4856
2025-07-01,S005,P0032,ChassisLine-1,B,158,171,1,0.0,0.0,0.0,0.0,13,1,0.07692307692307693,0.07451538461538462,0.12454615384615385,0,0.0,0.0,0.0,0,7.6923076923076925
2025-07-01,S005,P0035,BodyLine-2,B,391,440,1,0.0,0.0,0.0,0.0,10,0,0.0,0.17942,0.23373999999999998,0,0.0,0.0,0.0,0,0.0
2025-07-01,S006,P0004,Final-1,B,298,335,1,0.0,0.0,0.0,0.0,10,0,0.0,-0.17836999999999997,0.35974999999999996,0,0.0,0.0,0.0,0,0.0
2025-07-01,S006,P0020,ChassisLine-1,A,231,247,1,0.0,0.0,0.0,0.0,12,0,0.0,0.007508333333333332,0.1025583333333333,0,0.0,0.0,0.0,0,0.0
2025-07-01,S006,P0031,BodyLine-2,A,382,420,1,0.0,0.0,0.0,0.0,14,3,0.21428571428571427,0.03217857142857143,0.16899285714285717,0,0.0,0.0,0.0,0,21.428571428571427
2025-07-01,S006,P0034,BodyLine-2,C,430,500,1,0.0,0.0,0.0,0.0,11,0,0.0,0.14594545454545454,0.1599818181818182,0,0.0,0.0,0.0,0,0.0
2025-07-01,S007,P0003,BodyLine-2,C,366,458,1,1.0,1.0,187.92000000000002,0.0,16,0,0.0,-0.041887499999999994,0.2632875,0,2.73224043715847,2732.24043715847,513.4426229508197,0,5.7584
2025-07-01,S007,P0007,BodyLine-2,A,139,157,1,0.0,0.0,0.0,0.0,18,2,0.1111111111111111,0.12406666666666667,0.32776666666666665,0,0.0,0.0,0.0,0,11.11111111111111
2025-07-01,S007,P0013,ChassisLine-1,B,224,309,1,0.0,0.0,0.0,0.0,8,0,0.0,-0.0971125,0.14866249999999998,0,0.0,0.0,0.0,0,0.0
2025-07-01,S007,P0016,BodyLine-2,A,174,229,1,0.0,0.0,0.0,0.0,20,0,0.0,-0.095615,0.28667500000000007,0,0.0,0.0,0.0,0,0.0
2025-07-01,S009,P0030,Final-1,B,214,258,1,0.0,0.0,0.0,0.0,9,0,0.0,0.0038777777777777764,0.13794444444444443,0,0.0,0.0,0.0,0,0.0
2025-07-01,S010,P0002,Final-1,A,265,376,1,0.0,0.0,0.0,0.0,5,0,0.0,-0.09276,0.20292,0,0.0,0.0,0.0,0,0.0
2025-07-01,S010,P0025,Final-1,B,350,371,1,1.0,3.0,176.62,0.0,11,0,0.0,0.07463636363636363,0.3041636363636364,0,2.857142857142857,2857.1428571428573,504.62857142857143,0,9.532399999999999
2025-07-01,S011,P0011,TrimLine-1,B,399,466,1,0.0,0.0,0.0,0.0,6,0,0.0,0.15455,0.16018333333333334,0,0.0,0.0,0.0,0,0.0
2025-07-01,S012,P0022,ChassisLine-1,C,229,285,1,0.0,0.0,0.0,0.0,9,0,0.0,-0.042311111111111105,0.09522222222222221,0,0.0,0.0,0.0,0,0.0
2025-07-01,S012,P0026,BodyLine-1,C,265,274,1,0.0,0.0,0.0,0.0,9,0,0.0,-0.09397777777777777,0.1282222222222222,0,0.0,0.0,0.0,0,0.0
