measure_id,timestamp,lot_id,part_id,supplier_id,plant_line,shift,dimension_name,value_mm,nominal,lsl,usl,is_out_of_spec,deviation,tool_id,operator_id,eo_active
M000000001,2025-07-01T16:33:00,L0000001,P0013,S007,ChassisLine-1,B,Gap_mm,39.8354,39.898,38.898,40.897,0,-0.0626,T05,O004,
M000000002,2025-07-01T19:34:00,L0000001,P0013,S007,ChassisLine-1,B,Gap_mm,39.9436,39.898,38.898,40.897,0,0.0456,T05,O004,
M000000003,2025-07-01T10:16:00,L0000001,P0013,S007,ChassisLine-1,B,Gap_mm,39.7673,39.898,38.898,40.897,0,-0.1307,T05,O004,
M000000004,2025-07-01T07:50:00,L0000001,P0013,S007,ChassisLine-1,B,Gap_mm,39.5572,39.898,38.898,40.897,0,-0.3408,T05,O004,
M000000005,2025-07-01T07:29:00,L0000001,P0013,S007,ChassisLine-1,B,Gap_mm,39.9239,39.898,38.898,40.897,0,0.0259,T05,O004,
M000000006,2025-07-01T20:59:00,L0000001,P0013,S007,ChassisLine-1,B,Gap_mm,39.539,39.898,38.898,40.897,0,-0.359,T05,O004,
M000000007,2025-07-01T06:23:00,L0000001,P0013,S007,ChassisLine-1,B,Gap_mm,39.808,39.898,38.898,40.897,0,-0.09,T05,O004,
M000000008,2025-07-01T16:59:00,L0000001,P0013,S007,ChassisLine-1,B,Gap_mm,40.0327,39.898,38.898,40.897,0,0.1347,T05,O004,
M000000009,2025-07-01T21:56:00,L0000002,P0030,S009,Final-1,B,ConnectorWidth_mm,57.0868,56.829,55.895,57.763,0,0.2578,T04,O001,
M000000010,2025-07-01T16:10:00,L0000002,P0030,S009,Final-1,B,ConnectorWidth_mm,56.7628,56.829,55.895,57.763,0,-0.0662,T04,O001,
M000000011,2025-07-01T14:44:00,L0000002,P0030,S009,Final-1,B,ConnectorWidth_mm,56.8307,56.829,55.895,57.763,0,0.0017,T04,O001,
M000000012,2025-07-01T13:53:00,L0000002,P0030,S009,Final-1,B,ConnectorWidth_mm,56.6156,56.829,55.895,57.763,0,-0.2134,T04,O001,
M000000013,2025-07-01T06:44:00,L0000002,P0030,S009,Final-1,B,ConnectorWidth_mm,56.9669,56.829,55.895,57.763,0,0.1379,T04,O001,
M000000014,2025-07-01T13:39:00,L0000002,P0030,S009,Final-1,B,ConnectorWidth_mm,56.8746,56.829,55.895,57.763,0,0.0456,T04,O001,
M000000015,2025-07-01T21:44:00,L0000002,P0030,S009,Final-1,B,ConnectorWidth_mm,56.7429,56.829,55.895,57.763,0,-0.0861,T04,O001,
M000000016,2025-07-01T17:41:00,L0000002,P0030,S009,Final-1,B,ConnectorWidth_mm,57.0242,56.829,55.895,57.763,0,0.1952,T04,O001,
M000000017,2025-07-01T21:28:00,L0000002,P0030,S009,Final-1,B,ConnectorWidth_mm,56.5914,56.829,55.895,57.763,0,-0.2376,T04,O001,
M000000018,2025-07-01T20:29:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.5688,71.633,70.846,72.42,0,-0.0642,T03,O026,
M000000019,2025-07-01T18:03:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,72.1704,71.633,70.846,72.42,0,0.5374,T03,O026,
M000000020,2025-07-01T08:19:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.3641,71.633,70.846,72.42,0,-0.2689,T03,O026,
