lot_id,date,plant_line,shift,part_id,supplier_id,qty_received,qty_used
L0000001,2025-07-01,ChassisLine-1,B,P0013,S007,309,224
L0000002,2025-07-01,Final-1,B,P0030,S009,258,214
L0000003,2025-07-01,BodyLine-1,A,P0010,S005,366,321
L0000004,2025-07-01,ChassisLine-1,A,P0017,S001,269,235
L0000005,2025-07-01,Final-1,B,P0004,S006,335,298
L0000006,2025-07-01,Final-1,A,P0002,S010,376,265
L0000007,2025-07-01,BodyLine-2,B,P0035,S005,440,391
L0000008,2025-07-01,ChassisLine-1,B,P0032,S005,171,158
L0000009,2025-07-01,BodyLine-1,C,P0026,S012,274,265
L0000010,2025-07-01,BodyLine-2,A,P0016,S007,229,174
L0000011,2025-07-01,BodyLine-2,A,P0007,S007,157,139
L0000012,2025-07-01,ChassisLine-1,A,P0020,S006,247,231
L0000013,2025-07-01,Final-1,A,P0027,S005,224,187
L0000014,2025-07-01,Final-1,B,P0025,S010,371,350
L0000015,2025-07-01,ChassisLine-1,B,P0028,S003,441,343
L0000016,2025-07-01,ChassisLine-1,A,P0021,S001,420,388
L0000017,2025-07-01,ChassisLine-1,C,P0022,S012,285,229
L0000018,2025-07-01,TrimLine-1,B,P0011,S011,466,399
L0000019,2025-07-01,BodyLine-2,A,P0031,S006,420,382
L0000020,2025-07-01,TrimLine-1,A,P0001,S001,333,279
L0000021,2025-07-01,BodyLine-1,A,P0005,S001,478,386
L0000022,2025-07-01,BodyLine-2,C,P0003,S007,458,366
L0000023,2025-07-01,BodyLine-2,C,P0034,S006,500,430
L0000024,2025-07-02,ChassisLine-1,A,P0017,S001,482,352
L0000025,2025-07-02,TrimLine-1,A,P0011,S011,282,242
L0000026,2025-07-02,ChassisLine-1,B,P0013,S007,426,396
L0000027,2025-07-02,TrimLine-1,B,P0025,S010,353,342
L0000028,2025-07-02,ChassisLine-1,A,P0028,S003,234,220
L0000029,2025-07-02,Final-1,A,P0030,S009,440,428
L0000030,2025-07-02,TrimLine-1,A,P0004,S006,476,403
L0000031,2025-07-02,BodyLine-1,C,P0019,S006,221,197
L0000032,2025-07-02,BodyLine-1,B,P0003,S007,371,331
L0000033,2025-07-02,ChassisLine-1,B,P0020,S006,371,320
L0000034,2025-07-02,BodyLine-2,B,P0033,S001,486,470
L0000035,2025-07-02,BodyLine-2,C,P0005,S001,302,263
L0000036,2025-07-02,Final-1,A,P0006,S009,378,305
L0000037,2025-07-02,Final-1,B,P0023,S004,151,146
L0000038,2025-07-02,BodyLine-2,B,P0026,S012,132,102
L0000039,2025-07-02,BodyLine-1,B,P0031,S006,393,292
L0000040,2025-07-02,BodyLine-2,A,P0007,S007,496,405
L0000041,2025-07-02,ChassisLine-1,B,P0036,S003,487,352
L0000042,2025-07-02,Final-1,C,P0014,S003,138,97
L0000043,2025-07-02,ChassisLine-1,A,P0032,S005,444,433
L0000044,2025-07-02,TrimLine-1,A,P0027,S005,419,339
L0000045,2025-07-02,ChassisLine-1,B,P0015,S008,347,249
L0000046,2025-07-02,TrimLine-1,A,P0002,S010,229,163
L0000047,2025-07-02,ChassisLine-1,C,P0021,S001,445,436
L0000048,2025-07-03,ChassisLine-1,A,P0021,S001,325,298
L0000049,2025-07-03,Final-1,A,P0029,S008,329,294
L0000050,2025-07-03,BodyLine-1,A,P0035,S005,490,410
L0000051,2025-07-03,ChassisLine-1,A,P0032,S005,303,295
L0000052,2025-07-03,BodyLine-1,A,P0009,S011,203,175
L0000053,2025-07-03,ChassisLine-1,A,P0017,S001,334,276
L0000054,2025-07-03,Final-1,A,P0006,S009,175,153
L0000055,2025-07-03,ChassisLine-1,A,P0022,S012,258,245
L0000056,2025-07-03,TrimLine-1,B,P0025,S010,509,442
L0000057,2025-07-03,TrimLine-1,A,P0023,S004,187,145
L0000058,2025-07-03,TrimLine-1,A,P0014,S003,339,288
L0000059,2025-07-03,BodyLine-2,A,P0005,S001,265,222
L0000060,2025-07-03,BodyLine-1,A,P0019,S006,156,130
L0000061,2025-07-03,ChassisLine-1,B,P0020,S006,324,241
L0000062,2025-07-03,BodyLine-2,A,P0033,S001,230,212
L0000063,2025-07-03,ChassisLine-1,B,P0015,S008,193,146
L0000064,2025-07-03,TrimLine-1,C,P0002,S010,214,195
L0000065,2025-07-03,ChassisLine-1,B,P0028,S003,408,292
L0000066,2025-07-03,BodyLine-1,A,P0026,S012,405,385
L0000067,2025-07-03,BodyLine-2,B,P0007,S007,132,124
L0000068,2025-07-03,Final-1,B,P0004,S006,216,167
L0000069,2025-07-03,TrimLine-1,A,P0001,S001,345,322
L0000070,2025-07-03,BodyLine-2,A,P0010,S005,167,158
L0000071,2025-07-03,Final-1,B,P0018,S001,262,230
L0000072,2025-07-03,Final-1,A,P0011,S011,334,288
L0000073,2025-07-03,ChassisLine-1,B,P0013,S007,292,214
L0000074,2025-07-03,BodyLine-1,A,P0034,S006,479,416
L0000075,2025-07-04,BodyLine-2,A,P0019,S006,427,321
L0000076,2025-07-04,ChassisLine-1,A,P0013,S007,290,244
L0000077,2025-07-04,BodyLine-1,B,P0034,S006,402,367
L0000078,2025-07-04,Final-1,B,P0001,S001,181,151
L0000079,2025-07-04,BodyLine-1,B,P0009,S011,267,220
L0000080,2025-07-04,TrimLine-1,A,P0014,S003,515,406
L0000081,2025-07-04,Final-1,A,P0018,S001,175,122
L0000082,2025-07-04,ChassisLine-1,A,P0032,S005,309,268
L0000083,2025-07-04,TrimLine-1,A,P0004,S006,491,457
L0000084,2025-07-04,BodyLine-2,A,P0031,S006,493,481
L0000085,2025-07-04,BodyLine-2,A,P0003,S007,146,132
L0000086,2025-07-04,BodyLine-2,A,P0026,S012,432,402
L0000087,2025-07-04,ChassisLine-1,B,P0036,S003,439,408
L0000088,2025-07-04,BodyLine-1,B,P0033,S001,386,326
L0000089,2025-07-04,ChassisLine-1,A,P0021,S001,470,380
L0000090,2025-07-04,BodyLine-2,B,P0035,S005,405,385
L0000091,2025-07-04,BodyLine-1,A,P0016,S007,419,352
L0000092,2025-07-04,TrimLine-1,A,P0024,S002,276,234
L0000093,2025-07-04,ChassisLine-1,A,P0028,S003,211,179
L0000094,2025-07-04,ChassisLine-1,A,P0015,S008,253,228
L0000095,2025-07-05,BodyLine-2,B,P0007,S007,280,232
L0000096,2025-07-05,BodyLine-2,B,P0033,S001,484,357
L0000097,2025-07-05,BodyLine-2,B,P0019,S006,127,119
L0000098,2025-07-05,ChassisLine-1,C,P0028,S003,346,309
L0000099,2025-07-05,ChassisLine-1,C,P0021,S001,402,298
L0000100,2025-07-05,ChassisLine-1,B,P0036,S003,362,296
L0000101,2025-07-05,BodyLine-1,A,P0026,S012,456,435
L0000102,2025-07-05,TrimLine-1,A,P0029,S008,513,479
L0000103,2025-07-05,Final-1,B,P0006,S009,252,198
L0000104,2025-07-05,ChassisLine-1,A,P0008,S007,363,292
L0000105,2025-07-05,TrimLine-1,A,P0027,S005,441,309
L0000106,2025-07-05,BodyLine-1,A,P0005,S001,285,268
L0000107,2025-07-05,ChassisLine-1,C,P0020,S006,306,255
L0000108,2025-07-05,ChassisLine-1,C,P0015,S008,354,251
L0000109,2025-07-05,ChassisLine-1,C,P0017,S001,219,188
L0000110,2025-07-05,ChassisLine-1,A,P0022,S012,133,104
L0000111,2025-07-05,TrimLine-1,B,P0018,S001,372,261
L0000112,2025-07-05,BodyLine-1,B,P0016,S007,510,422
L0000113,2025-07-05,Final-1,A,P0001,S001,154,150
L0000114,2025-07-05,TrimLine-1,A,P0024,S002,243,197
L0000115,2025-07-05,TrimLine-1,A,P0023,S004,479,362
L0000116,2025-07-05,BodyLine-1,B,P0031,S006,271,253
L0000117,2025-07-05,ChassisLine-1,B,P0032,S005,237,213
L0000118,2025-07-05,BodyLine-2,B,P0035,S005,296,240
L0000119,2025-07-06,BodyLine-1,B,P0007,S007,414,388
L0000120,2025-07-06,ChassisLine-1,A,P0032,S005,470,413
L0000121,2025-07-06,BodyLine-2,C,P0035,S005,446,354
L0000122,2025-07-06,ChassisLine-1,A,P0015,S008,271,234
L0000123,2025-07-06,BodyLine-2,B,P0010,S005,258,236
L0000124,2025-07-06,TrimLine-1,A,P0024,S002,237,228
L0000125,2025-07-06,BodyLine-2,B,P0016,S007,165,141
L0000126,2025-07-06,TrimLine-1,C,P0002,S010,439,359
L0000127,2025-07-06,TrimLine-1,B,P0027,S005,416,372
L0000128,2025-07-06,TrimLine-1,A,P0025,S010,175,163
L0000129,2025-07-06,BodyLine-2,A,P0009,S011,480,428
L0000130,2025-07-06,TrimLine-1,A,P0001,S001,485,355
L0000131,2025-07-06,BodyLine-2,B,P0005,S001,146,118
L0000132,2025-07-06,Final-1,B,P0030,S009,202,142
L0000133,2025-07-06,ChassisLine-1,A,P0013,S007,480,453
L0000134,2025-07-06,ChassisLine-1,B,P0028,S003,360,319
L0000135,2025-07-06,BodyLine-1,B,P0033,S001,455,370
L0000136,2025-07-06,BodyLine-2,B,P0031,S006,138,103
L0000137,2025-07-06,TrimLine-1,A,P0018,S001,156,142
L0000138,2025-07-06,BodyLine-1,A,P0026,S012,235,187
L0000139,2025-07-06,TrimLine-1,B,P0012,S001,364,351
L0000140,2025-07-06,TrimLine-1,B,P0014,S003,494,447
L0000141,2025-07-06,BodyLine-1,A,P0034,S006,335,249
L0000142,2025-07-07,ChassisLine-1,A,P0032,S005,355,347
L0000143,2025-07-07,BodyLine-2,B,P0035,S005,486,344
L0000144,2025-07-07,BodyLine-1,B,P0007,S007,197,144
L0000145,2025-07-07,TrimLine-1,C,P0023,S004,309,290
L0000146,2025-07-07,TrimLine-1,B,P0018,S001,328,288
L0000147,2025-07-07,ChassisLine-1,B,P0013,S007,265,227
L0000148,2025-07-07,BodyLine-1,A,P0016,S007,398,316
L0000149,2025-07-07,BodyLine-1,A,P0026,S012,348,321
L0000150,2025-07-07,ChassisLine-1,B,P0022,S012,384,348
L0000151,2025-07-07,ChassisLine-1,B,P0017,S001,290,274
L0000152,2025-07-07,Final-1,A,P0004,S006,468,330
L0000153,2025-07-07,TrimLine-1,A,P0001,S001,273,262
L0000154,2025-07-07,BodyLine-1,C,P0005,S001,260,237
L0000155,2025-07-07,TrimLine-1,A,P0012,S001,311,268
L0000156,2025-07-07,BodyLine-2,C,P0031,S006,427,348
L0000157,2025-07-07,TrimLine-1,B,P0030,S009,412,288
L0000158,2025-07-07,BodyLine-1,A,P0019,S006,234,183
L0000159,2025-07-07,ChassisLine-1,A,P0028,S003,136,95
L0000160,2025-07-07,Final-1,A,P0024,S002,163,131
L0000161,2025-07-07,Final-1,A,P0029,S008,499,459
L0000162,2025-07-07,TrimLine-1,B,P0027,S005,512,485
L0000163,2025-07-07,ChassisLine-1,B,P0036,S003,481,469
L0000164,2025-07-07,BodyLine-1,C,P0034,S006,212,204
L0000165,2025-07-07,TrimLine-1,A,P0025,S010,452,331
L0000166,2025-07-07,TrimLine-1,A,P0002,S010,208,156
L0000167,2025-07-07,ChassisLine-1,B,P0015,S008,260,186
L0000168,2025-07-08,BodyLine-2,B,P0033,S001,384,327
L0000169,2025-07-08,BodyLine-1,A,P0034,S006,471,434
L0000170,2025-07-08,ChassisLine-1,B,P0036,S003,460,433
L0000171,2025-07-08,BodyLine-1,A,P0007,S007,215,206
L0000172,2025-07-08,ChassisLine-1,A,P0015,S008,399,300
L0000173,2025-07-08,ChassisLine-1,C,P0028,S003,504,418
L0000174,2025-07-08,BodyLine-1,B,P0026,S012,171,135
L0000175,2025-07-08,BodyLine-2,C,P0031,S006,120,102
L0000176,2025-07-08,BodyLine-1,B,P0009,S011,122,95
L0000177,2025-07-08,ChassisLine-1,B,P0020,S006,512,448
L0000178,2025-07-08,ChassisLine-1,A,P0022,S012,373,317
L0000179,2025-07-08,ChassisLine-1,B,P0021,S001,162,147
L0000180,2025-07-08,Final-1,A,P0004,S006,456,369
L0000181,2025-07-08,BodyLine-1,C,P0010,S005,161,154
L0000182,2025-07-08,Final-1,B,P0006,S009,498,371
L0000183,2025-07-08,BodyLine-2,A,P0035,S005,352,280
L0000184,2025-07-08,ChassisLine-1,B,P0032,S005,138,130
L0000185,2025-07-08,Final-1,B,P0024,S002,298,262
